Plugin, Num Pods, Iteration, Total Latency (ms), Average Latency per Pod (ms), Batch Readiness Time (ms), Average Batch Readiness Time (ms), Final Average Latency per Pod for all iterations (ms)
uc1, 100, 1, 2016211, 20162, 34751, 38502, 23636
uc1, 100, 2, 2144793, 21447, 36046, 38502, 23636
uc1, 100, 3, 3494998, 34949, 50316, 38502, 23636
uc1, 100, 4, 2253240, 22532, 37139, 38502, 23636
uc1, 100, 5, 2166326, 21663, 36718, 38502, 23636
uc1, 100, 6, 2106493, 21064, 36047, 38502, 23636
uc1, 10, 1, 66305, 6630, 7904, 4948, 3665
uc1, 10, 2, 31150, 3115, 4421, 4948, 3665
uc1, 10, 3, 30892, 3089, 4321, 4948, 3665
uc1, 10, 4, 30865, 3086, 4383, 4948, 3665
uc1, 10, 5, 30776, 3077, 4349, 4948, 3665
uc1, 10, 6, 29964, 2996, 4310, 4948, 3665
uc1, 150, 1, 4485998, 29906, 53008, 54137, 31083
uc1, 150, 2, 5158025, 34386, 57717, 54137, 31083
uc1, 150, 3, 4575698, 30504, 53710, 54137, 31083
uc1, 150, 4, 4484209, 29894, 52888, 54137, 31083
uc1, 150, 5, 4561186, 30407, 53191, 54137, 31083
uc1, 150, 6, 4710476, 31403, 54309, 54137, 31083
uc1, 1, 1, 3115, 3115, 3117, 1647, 1642
uc1, 1, 2, 1358, 1358, 1363, 1647, 1642
uc1, 1, 3, 1343, 1343, 1348, 1647, 1642
uc1, 1, 4, 1346, 1346, 1350, 1647, 1642
uc1, 1, 5, 1344, 1344, 1349, 1647, 1642
uc1, 1, 6, 1350, 1350, 1355, 1647, 1642
uc1, 50, 1, 536204, 10724, 17855, 20787, 13462
uc1, 50, 2, 552358, 11047, 18106, 20787, 13462
uc1, 50, 3, 1308775, 26175, 34481, 20787, 13462
uc1, 50, 4, 551515, 11030, 18305, 20787, 13462
uc1, 50, 5, 551896, 11037, 18183, 20787, 13462
uc1, 50, 6, 538091, 10761, 17794, 20787, 13462
