Plugin, Num Pods, Iteration, Total Delete Latency (ms), Average Delete Latency per Pod (ms), Batch Delete Time (ms), Average Batch Delete Time (ms), Final Average Delete Latency per Pod for all iterations (ms)
uc1, 100, 1, 1299124, 12991, 22764, 23514, 13773
uc1, 100, 2, 1326764, 13267, 22936, 23514, 13773
uc1, 100, 3, 1412597, 14125, 23753, 23514, 13773
uc1, 100, 4, 1425625, 14256, 24233, 23514, 13773
uc1, 100, 5, 1369212, 13692, 23437, 23514, 13773
uc1, 100, 6, 1430748, 14307, 23965, 23514, 13773
uc1, 10, 1, 21575, 2157, 2958, 2937, 2145
uc1, 10, 2, 19614, 1961, 2742, 2937, 2145
uc1, 10, 3, 22671, 2267, 3078, 2937, 2145
uc1, 10, 4, 22074, 2207, 2988, 2937, 2145
uc1, 10, 5, 21569, 2156, 2992, 2937, 2145
uc1, 10, 6, 21250, 2125, 2867, 2937, 2145
uc1, 150, 1, 2860921, 19072, 34550, 35465, 19978
uc1, 150, 2, 3051844, 20345, 35088, 35465, 19978
uc1, 150, 3, 2998303, 19988, 35863, 35465, 19978
uc1, 150, 4, 3018921, 20126, 35738, 35465, 19978
uc1, 150, 5, 2848550, 18990, 34482, 35465, 19978
uc1, 150, 6, 3201814, 21345, 37071, 35465, 19978
uc1, 1, 1, 2843, 2843, 2848, 2033, 2028
uc1, 1, 2, 1854, 1854, 1860, 2033, 2028
uc1, 1, 3, 1865, 1865, 1870, 2033, 2028
uc1, 1, 4, 1853, 1853, 1859, 2033, 2028
uc1, 1, 5, 1872, 1872, 1876, 2033, 2028
uc1, 1, 6, 1883, 1883, 1886, 2033, 2028
uc1, 50, 1, 359234, 7184, 11753, 11848, 7186
uc1, 50, 2, 366974, 7339, 12035, 11848, 7186
uc1, 50, 3, 350198, 7003, 11840, 11848, 7186
uc1, 50, 4, 378204, 7564, 12252, 11848, 7186
uc1, 50, 5, 337177, 6743, 11326, 11848, 7186
uc1, 50, 6, 364213, 7284, 11882, 11848, 7186
