run_timestamp,iteration,namespace,deployment_time_s,deletion_time_s
2025-11-20T13:53:01,1,online-boutique,39.267258744,7.389239038
2025-11-20T13:53:52,2,online-boutique,40.858091858,7.403666567
2025-11-20T13:54:44,3,online-boutique,40.267683594,7.405713882
2025-11-20T13:55:36,4,online-boutique,39.555424574,7.395859547
2025-11-20T13:56:28,5,online-boutique,39.555023028,7.382470678
2025-11-20T13:57:20,6,online-boutique,39.574882178,7.397524299
2025-11-20T13:58:13,7,online-boutique,40.786357882,7.488709977
