run_timestamp,iteration,namespace,deployment_time_s,deletion_time_s
2025-11-20T13:39:45,1,online-boutique,35.703227626,6.795341678
2025-11-20T13:41:28,2,online-boutique,36.770138339,6.797950346
2025-11-20T13:42:17,3,online-boutique,36.750557715,8.835819957
2025-11-20T13:43:07,4,online-boutique,36.714601651,6.786031275
2025-11-20T13:45:27,5,online-boutique,36.567713465,6.788794803
2025-11-20T13:46:15,6,online-boutique,36.755115546,6.798440828
2025-11-20T13:47:03,7,online-boutique,37.422074339,6.793029503
